time,elapsed_seconds,message
2023-01-07 08:38:41,0.00651373,calculating multimodal upgrade for 8
2023-01-07 08:38:41,0.0242455,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00674943,calculating multimodal upgrade for 9
2023-01-07 08:38:41,0.0242876,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00671807,calculating multimodal upgrade for 10
2023-01-07 08:38:41,0.0242614,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00676394,calculating multimodal upgrade for 11
2023-01-07 08:38:41,0.0254382,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00678429,calculating multimodal upgrade for 12
2023-01-07 08:38:41,0.0254406,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00672537,calculating multimodal upgrade for 13
2023-01-07 08:38:41,0.0243287,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00676176,calculating multimodal upgrade for 14
2023-01-07 08:38:41,0.0243509,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00678641,calculating multimodal upgrade for 15
2023-01-07 08:38:41,0.0254343,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00676891,calculating multimodal upgrade for 16
2023-01-07 08:38:41,0.0254963,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00654667,calculating multimodal upgrade for 17
2023-01-07 08:38:41,0.0243995,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00659392,calculating multimodal upgrade for 18
2023-01-07 08:38:41,0.0243676,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00673165,calculating multimodal upgrade for 19
2023-01-07 08:38:41,0.0244141,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00665435,calculating multimodal upgrade for 20
2023-01-07 08:38:41,0.0255604,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00654305,calculating multimodal upgrade for 21
2023-01-07 08:38:41,0.0256032,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00682764,calculating multimodal upgrade for 22
2023-01-07 08:38:41,0.0244248,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00662493,calculating multimodal upgrade for 23
2023-01-07 08:38:41,0.0245122,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00647826,calculating multimodal upgrade for 25
2023-01-07 08:38:41,0.0256417,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00658702,calculating multimodal upgrade for 26
2023-01-07 08:38:41,0.0269419,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00711823,calculating multimodal upgrade for 27
2023-01-07 08:38:41,0.0245979,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:41,0.00633484,calculating multimodal upgrade for 28
2023-01-07 08:38:42,0.0246579,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00673019,calculating multimodal upgrade for 29
2023-01-07 08:38:42,0.0256383,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00666302,calculating multimodal upgrade for 30
2023-01-07 08:38:42,0.024491,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00684024,calculating multimodal upgrade for 31
2023-01-07 08:38:42,0.024614,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00673327,calculating multimodal upgrade for 32
2023-01-07 08:38:42,0.0245134,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00668225,calculating multimodal upgrade for 33
2023-01-07 08:38:42,0.0249557,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00667647,calculating multimodal upgrade for 34
2023-01-07 08:38:42,0.0244929,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00682716,calculating multimodal upgrade for 35
2023-01-07 08:38:42,0.0244581,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.0066467,calculating multimodal upgrade for 36
2023-01-07 08:38:42,0.0245223,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00670669,calculating multimodal upgrade for 37
2023-01-07 08:38:42,0.0246126,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00690278,calculating multimodal upgrade for 38
2023-01-07 08:38:42,0.0245663,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00689478,calculating multimodal upgrade for 39
2023-01-07 08:38:42,0.0257526,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00681102,calculating multimodal upgrade for 40
2023-01-07 08:38:42,0.0245814,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00681348,calculating multimodal upgrade for 41
2023-01-07 08:38:42,0.0239385,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00671734,calculating multimodal upgrade for 42
2023-01-07 08:38:42,0.0245081,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00675865,calculating multimodal upgrade for 43
2023-01-07 08:38:42,0.0257152,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00667116,calculating multimodal upgrade for 44
2023-01-07 08:38:42,0.0250668,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00671569,calculating multimodal upgrade for 45
2023-01-07 08:38:42,0.0250601,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00680955,calculating multimodal upgrade for 46
2023-01-07 08:38:42,0.0239573,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00673207,calculating multimodal upgrade for 47
2023-01-07 08:38:42,0.024026,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00659421,calculating multimodal upgrade for 48
2023-01-07 08:38:42,0.0240501,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00674044,calculating multimodal upgrade for 49
2023-01-07 08:38:42,0.024803,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.0068108,calculating multimodal upgrade for 50
2023-01-07 08:38:42,0.0240927,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00684957,calculating multimodal upgrade for 51
2023-01-07 08:38:42,0.0241099,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00674953,calculating multimodal upgrade for 52
2023-01-07 08:38:42,0.0252051,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00674927,calculating multimodal upgrade for 54
2023-01-07 08:38:42,0.0251979,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00691402,calculating multimodal upgrade for 55
2023-01-07 08:38:42,0.0241136,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00665695,calculating multimodal upgrade for 56
2023-01-07 08:38:42,0.0252205,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00659748,calculating multimodal upgrade for 57
2023-01-07 08:38:42,0.0240989,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00685448,calculating multimodal upgrade for 58
2023-01-07 08:38:42,0.0240719,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00655459,calculating multimodal upgrade for 59
2023-01-07 08:38:42,0.0241668,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00676839,calculating multimodal upgrade for 60
2023-01-07 08:38:42,0.0252786,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:42,0.00679888,calculating multimodal upgrade for 61
2023-01-07 08:38:43,0.0252327,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00669257,calculating multimodal upgrade for 62
2023-01-07 08:38:43,0.0241074,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00664209,calculating multimodal upgrade for 63
2023-01-07 08:38:43,0.0247564,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00661574,calculating multimodal upgrade for 64
2023-01-07 08:38:43,0.0241866,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00674971,calculating multimodal upgrade for 65
2023-01-07 08:38:43,0.0252673,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00685362,calculating multimodal upgrade for 66
2023-01-07 08:38:43,0.0241702,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00669912,calculating multimodal upgrade for 67
2023-01-07 08:38:43,0.0252944,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00673879,calculating multimodal upgrade for 68
2023-01-07 08:38:43,0.0253169,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00668257,calculating multimodal upgrade for 69
2023-01-07 08:38:43,0.0242025,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00675131,calculating multimodal upgrade for 70
2023-01-07 08:38:43,0.0241928,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00697154,calculating multimodal upgrade for 72
2023-01-07 08:38:43,0.0248823,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00642556,calculating multimodal upgrade for 73
2023-01-07 08:38:43,0.0242467,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00663815,calculating multimodal upgrade for 74
2023-01-07 08:38:43,0.0241459,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00667895,calculating multimodal upgrade for 75
2023-01-07 08:38:43,0.0242283,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00671883,calculating multimodal upgrade for 76
2023-01-07 08:38:43,0.0242044,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00683863,calculating multimodal upgrade for 77
2023-01-07 08:38:43,0.0253261,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00696643,calculating multimodal upgrade for 78
2023-01-07 08:38:43,0.02494,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00689171,calculating multimodal upgrade for 79
2023-01-07 08:38:43,0.0250008,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00671881,calculating multimodal upgrade for 80
2023-01-07 08:38:43,0.0242242,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00675001,calculating multimodal upgrade for 81
2023-01-07 08:38:43,0.0242417,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00697804,calculating multimodal upgrade for 82
2023-01-07 08:38:43,0.0244512,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00679261,calculating multimodal upgrade for 83
2023-01-07 08:38:43,0.024293,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00665427,calculating multimodal upgrade for 84
2023-01-07 08:38:43,0.0242786,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.0067551,calculating multimodal upgrade for 85
2023-01-07 08:38:43,0.0242639,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00671487,calculating multimodal upgrade for 86
2023-01-07 08:38:43,0.0253755,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00697342,calculating multimodal upgrade for 87
2023-01-07 08:38:43,0.02425,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00662256,calculating multimodal upgrade for 88
2023-01-07 08:38:43,0.0242744,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.0066551,calculating multimodal upgrade for 89
2023-01-07 08:38:43,0.0249444,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00681632,calculating multimodal upgrade for 90
2023-01-07 08:38:43,0.0250337,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00670807,calculating multimodal upgrade for 91
2023-01-07 08:38:43,0.0243468,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00679757,calculating multimodal upgrade for 92
2023-01-07 08:38:43,0.0249837,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00698485,calculating multimodal upgrade for 93
2023-01-07 08:38:43,0.0242946,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:43,0.00666669,calculating multimodal upgrade for 94
2023-01-07 08:38:44,0.0243859,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00670748,calculating multimodal upgrade for 95
2023-01-07 08:38:44,0.0243688,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00686126,calculating multimodal upgrade for 96
2023-01-07 08:38:44,0.0243754,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00679316,calculating multimodal upgrade for 97
2023-01-07 08:38:44,0.0243561,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00685646,calculating multimodal upgrade for 98
2023-01-07 08:38:44,0.0253585,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00676862,calculating multimodal upgrade for 99
2023-01-07 08:38:44,0.0255175,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00674765,calculating multimodal upgrade for 100
2023-01-07 08:38:44,0.0243295,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00668078,calculating multimodal upgrade for 101
2023-01-07 08:38:44,0.0244348,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00667832,calculating multimodal upgrade for 102
2023-01-07 08:38:44,0.0244756,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00691083,calculating multimodal upgrade for 103
2023-01-07 08:38:44,0.0250731,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.0066243,calculating multimodal upgrade for 104
2023-01-07 08:38:44,0.025138,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00683114,calculating multimodal upgrade for 105
2023-01-07 08:38:44,0.0244773,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00718065,calculating multimodal upgrade for 106
2023-01-07 08:38:44,0.0244887,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00660422,calculating multimodal upgrade for 107
2023-01-07 08:38:44,0.0243934,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00670904,calculating multimodal upgrade for 108
2023-01-07 08:38:44,0.0244131,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00677431,calculating multimodal upgrade for 109
2023-01-07 08:38:44,0.0245198,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00647137,calculating multimodal upgrade for 110
2023-01-07 08:38:44,0.0251733,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00684999,calculating multimodal upgrade for 111
2023-01-07 08:38:44,0.0265473,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00688014,calculating multimodal upgrade for 112
2023-01-07 08:38:44,0.0251751,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.0067241,calculating multimodal upgrade for 113
2023-01-07 08:38:44,0.0245558,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00664159,calculating multimodal upgrade for 114
2023-01-07 08:38:44,0.0245576,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00657759,calculating multimodal upgrade for 115
2023-01-07 08:38:44,0.0256533,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00679734,calculating multimodal upgrade for 116
2023-01-07 08:38:44,0.0245622,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00680433,calculating multimodal upgrade for 117
2023-01-07 08:38:44,0.0244958,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00665468,calculating multimodal upgrade for 118
2023-01-07 08:38:44,0.0245781,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00686763,calculating multimodal upgrade for 119
2023-01-07 08:38:44,0.0244554,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00672629,calculating multimodal upgrade for 120
2023-01-07 08:38:44,0.024595,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00673946,calculating multimodal upgrade for 121
2023-01-07 08:38:44,0.0252246,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00697735,calculating multimodal upgrade for 122
2023-01-07 08:38:44,0.0245021,upgrade thread progress: 0 of 1 parts done
2023-01-07 08:38:44,0.00672196,calculating multimodal upgrade for 123
