group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,38.6687,18.3445,1,0,4.56224,15.6391,2
beta,5.57444,16.7509,0,0,0.332304,0.292972,0
diffusion_coefficient,0.714433,18.7374,0,0,0.0781101,0.0639311,0
eruption_mass,0.109304,22.8948,0,0,0.020921,0.0161136,0
fall_time_threshold,0.0761168,15.6809,0,0,0.0168569,0.0142244,0
median_grainsize,641.657,18.6597,0,0,24.9318,3.74399,1
plume_height,0.0528542,14.5785,0,0,0.00505998,0.0043246,0
std_grainsize,0.41703,15.7519,0,0,0.168581,0.141436,0
