group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,71.3936,44.4658,0,0,4.56224,1.53995,6
beta,24.2654,40.2642,0,0,0.332304,0.262105,0
diffusion_coefficient,3.65169,42.6345,0,0,0.0781101,0.0465065,0
eruption_mass,0.929511,51.6503,0,0,0.020921,0.0100221,0
fall_time_threshold,0.500297,41.9709,0,0,0.0168569,0.00983109,0
median_grainsize,1499.84,46.212,0,0,24.9318,0.957987,1
plume_height,0.112772,41.368,0,0,0.00505998,0.00297012,0
std_grainsize,0.751696,40.164,0,0,0.168581,0.101636,0
