obsnme,obsval,weight,obgnme,east,north,standard_deviation,lower_bound
mass_east:700383.6161_north:1472828.366,75.0,0.1333333333333333,obgnme,700383.6161,1472828.366,3.75,0.0
mass_east:700534.2473_north:1465200.142,7.5,1.3333333333333333,obgnme,700534.2473,1465200.142,0.375,0.0
mass_east:700608.11_north:1479002.79,15.0,0.6666666666666666,obgnme,700608.11,1479002.79,0.75,0.0
mass_east:700951.9146_north:1479457.732,22.5,0.4444444444444444,obgnme,700951.9146,1479457.732,1.125,0.0
mass_east:701230.3042_north:1473607.164,90.0,0.1111111111111111,obgnme,701230.3042,1473607.164,4.5,0.0
mass_east:701236.78_north:1475734.54,82.5,0.1212121212121212,obgnme,701236.78,1475734.54,4.125,0.0
mass_east:701403.2659_north:1474089.033,97.5,0.1025641025641025,obgnme,701403.2659,1474089.033,4.875,0.0
mass_east:701447.5679_north:1478796.18,30.0,0.3333333333333333,obgnme,701447.5679,1478796.18,1.5,0.0
mass_east:701979.8903_north:1474231.631,97.5,0.1025641025641025,obgnme,701979.8903,1474231.631,4.875,0.0
mass_east:702055.6754_north:1478553.709,37.5,0.2666666666666666,obgnme,702055.6754,1478553.709,1.875,0.0
mass_east:702329.8068_north:1477485.218,45.0,0.2222222222222222,obgnme,702329.8068,1477485.218,2.25,0.0
mass_east:702331.1537_north:1477050.524,30.0,0.3333333333333333,obgnme,702331.1537,1477050.524,1.5,0.0
mass_east:702349.4475_north:1472091.164,60.0,0.1666666666666666,obgnme,702349.4475,1472091.164,3.0,0.0
mass_east:702379.37_north:1474878.73,45.0,0.2222222222222222,obgnme,702379.37,1474878.73,2.25,0.0
mass_east:702482.643_north:1470462.43,34.5,0.2898550724637681,obgnme,702482.643,1470462.43,1.725,0.0
mass_east:702518.8983_north:1470461.695,34.5,0.2898550724637681,obgnme,702518.8983,1470461.695,1.725,0.0
mass_east:702524.6997_north:1464702.711,4.5,2.2222222222222223,obgnme,702524.6997,1464702.711,0.225,0.0
mass_east:702558.411_north:1475908.563,60.0,0.1666666666666666,obgnme,702558.411,1475908.563,3.0,0.0
mass_east:702689.9009_north:1472997.564,52.5,0.1904761904761904,obgnme,702689.9009,1472997.564,2.625,0.0
mass_east:702691.3487_north:1464877.287,10.5,0.9523809523809524,obgnme,702691.3487,1464877.287,0.525,0.0
mass_east:702823.0000_north:1433739.00,0.0,10.0,obgnme,702823.0000,1433739.00,0.1,0.0
mass_east:702854.5674_north:1467466.96,18.0,0.5555555555555556,obgnme,702854.5674,1467466.96,0.9,0.0
mass_east:702936.0558_north:1474386.983,52.5,0.1904761904761904,obgnme,702936.0558,1474386.983,2.625,0.0
mass_east:703169.6307_north:1473542.173,45.0,0.2222222222222222,obgnme,703169.6307,1473542.173,2.25,0.0
mass_east:703507.349_north:1474766.077,45.0,0.2222222222222222,obgnme,703507.349,1474766.077,2.25,0.0
mass_east:703540.6353_north:1472478.642,45.0,0.2222222222222222,obgnme,703540.6353,1472478.642,2.25,0.0
mass_east:703626.6524_north:1470324.906,37.5,0.2666666666666666,obgnme,703626.6524,1470324.906,1.875,0.0
mass_east:703634.9476_north:1470325.699,37.5,0.2666666666666666,obgnme,703634.9476,1470325.699,1.875,0.0
mass_east:703737.2128_north:1469459.118,25.5,0.392156862745098,obgnme,703737.2128,1469459.118,1.275,0.0
mass_east:703741.109_north:1468505.821,30.0,0.3333333333333333,obgnme,703741.109,1468505.821,1.5,0.0
mass_east:703894.7541_north:1465612.15,22.5,0.4444444444444444,obgnme,703894.7541,1465612.15,1.125,0.0
mass_east:703963.5297_north:1471311.749,37.5,0.2666666666666666,obgnme,703963.5297,1471311.749,1.875,0.0
mass_east:703986.7135_north:1466887.458,15.0,0.6666666666666666,obgnme,703986.7135,1466887.458,0.75,0.0
mass_east:703990.7543_north:1467265.652,18.0,0.5555555555555556,obgnme,703990.7543,1467265.652,0.9,0.0
mass_east:707362.0000_north:1529879.00,0.0,10.0,obgnme,707362.0000,1529879.00,0.1,0.0
mass_east:718127.0000_north:1533707.00,0.0,10.0,obgnme,718127.0000,1533707.00,0.1,0.0
mass_east:721921.0000_north:1555453.00,0.0,10.0,obgnme,721921.0000,1555453.00,0.1,0.0
mass_east:725423.0000_north:1408581.00,0.0,10.0,obgnme,725423.0000,1408581.00,0.1,0.0
mass_east:750535.0000_north:1400531.00,0.0,10.0,obgnme,750535.0000,1400531.00,0.1,0.0
mass_east:761845.0000_north:1557976.00,0.0,10.0,obgnme,761845.0000,1557976.00,0.1,0.0
mass_east:819866.0000_north:1573265.00,0.0,10.0,obgnme,819866.0000,1573265.00,0.1,0.0
mass_east:822988.0000_north:1379186.00,0.0,10.0,obgnme,822988.0000,1379186.00,0.1,0.0
mass_east:866800_north:1475343,0.007,10.0,obgnme,866800,1475343,0.1,0.0
mass_east:869966.27_north:1447717.22,0.021,10.0,obgnme,869966.27,1447717.22,0.1,0.0
