group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
wind0,126.152,71.2256,0,0,5.44538,1.48894,20
beta,36.819,66.6389,0,0,0.331729,0.175161,0
diffusion_coefficient,8.70843,76.2352,0,0,0.0768345,0.0200013,1
eruption_mass,2.93387,73.3463,0,0,0.021144,0.00547503,1
fall_time_threshold,0.479083,65.1455,0,0,0.0166074,0.00581629,0
median_grainsize,117.419,72.3075,0,0,0.623401,0.991074,0
plume_height,0.349104,65.7283,0,0,0.0050599,0.00174019,0
std_grainsize,9.11323,72.7329,0,0,0.168848,0.0421947,1
